,product,variable,value,factor,product,variable,value,factor
173,Publishing services,"Use of imported products, cif",2.305,Ratio of direct to total,Publishing services,"Use of imported products, cif",0.117,total impact
174,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities","Use of imported products, cif",1.53,Ratio of direct to total,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities","Use of imported products, cif",0.178,total impact
175,Telecommunications services,"Use of imported products, cif",1.279,Ratio of direct to total,Telecommunications services,"Use of imported products, cif",0.151,total impact
176,"Computer programming, consultancy and related services","Use of imported products, cif",1.54,Ratio of direct to total,"Computer programming, consultancy and related services","Use of imported products, cif",0.125,total impact
177,Information services,"Use of imported products, cif",1.803,Ratio of direct to total,Information services,"Use of imported products, cif",0.106,total impact
178,"Financial services, except insurance and pension funding","Use of imported products, cif",1.473,Ratio of direct to total,"Financial services, except insurance and pension funding","Use of imported products, cif",0.137,total impact
179,"Insurance, reinsurance and pension funding services, except compulsory social security","Use of imported products, cif",1.548,Ratio of direct to total,"Insurance, reinsurance and pension funding services, except compulsory social security","Use of imported products, cif",0.161,total impact
180,Services auxiliary to financial services and insurance services,"Use of imported products, cif",2.21,Ratio of direct to total,Services auxiliary to financial services and insurance services,"Use of imported products, cif",0.072,total impact
181,Real estate services on a fee or contract basis,"Use of imported products, cif",4.944,Ratio of direct to total,Real estate services on a fee or contract basis,"Use of imported products, cif",0.051,total impact
182,Owner-Occupiers' Housing Services,"Use of imported products, cif",,Ratio of direct to total,Owner-Occupiers' Housing Services,"Use of imported products, cif",0.018,total impact
183,"Real estate services, excluding on a fee or contract basis and imputed rent","Use of imported products, cif",2.198,Ratio of direct to total,"Real estate services, excluding on a fee or contract basis and imputed rent","Use of imported products, cif",0.078,total impact
184,Legal services,"Use of imported products, cif",2.289,Ratio of direct to total,Legal services,"Use of imported products, cif",0.041,total impact
185,"Accounting, bookkeeping and auditing services; tax consulting services","Use of imported products, cif",1.428,Ratio of direct to total,"Accounting, bookkeeping and auditing services; tax consulting services","Use of imported products, cif",0.068,total impact
186,Services of head offices; management consulting services,"Use of imported products, cif",1.557,Ratio of direct to total,Services of head offices; management consulting services,"Use of imported products, cif",0.141,total impact
187,Architectural and engineering services; technical testing and analysis services,"Use of imported products, cif",1.967,Ratio of direct to total,Architectural and engineering services; technical testing and analysis services,"Use of imported products, cif",0.134,total impact
188,Scientific research and development services,"Use of imported products, cif",1.774,Ratio of direct to total,Scientific research and development services,"Use of imported products, cif",0.143,total impact
189,Advertising and market research services,"Use of imported products, cif",1.504,Ratio of direct to total,Advertising and market research services,"Use of imported products, cif",0.143,total impact
190,"Other professional, scientific and technical services","Use of imported products, cif",2.162,Ratio of direct to total,"Other professional, scientific and technical services","Use of imported products, cif",0.13,total impact
191,Veterinary services,"Use of imported products, cif",3.843,Ratio of direct to total,Veterinary services,"Use of imported products, cif",0.048,total impact
192,Rental and leasing services,"Use of imported products, cif",2.703,Ratio of direct to total,Rental and leasing services,"Use of imported products, cif",0.077,total impact
193,Employment services,"Use of imported products, cif",1.724,Ratio of direct to total,Employment services,"Use of imported products, cif",0.063,total impact
194,"Travel agency, tour operator and other reservation services and related services","Use of imported products, cif",12.071,Ratio of direct to total,"Travel agency, tour operator and other reservation services and related services","Use of imported products, cif",0.132,total impact
195,Security and investigation services,"Use of imported products, cif",2.424,Ratio of direct to total,Security and investigation services,"Use of imported products, cif",0.066,total impact
196,Services to buildings and landscape,"Use of imported products, cif",2.963,Ratio of direct to total,Services to buildings and landscape,"Use of imported products, cif",0.095,total impact
197,"Office administrative, office support and other business support services","Use of imported products, cif",1.401,Ratio of direct to total,"Office administrative, office support and other business support services","Use of imported products, cif",0.183,total impact
198,Public administration and defence services; compulsory social security services,"Use of imported products, cif",1.833,Ratio of direct to total,Public administration and defence services; compulsory social security services,"Use of imported products, cif",0.099,total impact
199,Education services,"Use of imported products, cif",2.704,Ratio of direct to total,Education services,"Use of imported products, cif",0.046,total impact
200,Human health services,"Use of imported products, cif",1.617,Ratio of direct to total,Human health services,"Use of imported products, cif",0.107,total impact
201,Residential Care  & Social Work Activities,"Use of imported products, cif",5.445,Ratio of direct to total,Residential Care  & Social Work Activities,"Use of imported products, cif",0.045,total impact
202,"Creative, arts and entertainment services","Use of imported products, cif",2.804,Ratio of direct to total,"Creative, arts and entertainment services","Use of imported products, cif",0.074,total impact
203,"Libraries, archives, museums and other cultural services","Use of imported products, cif",2.733,Ratio of direct to total,"Libraries, archives, museums and other cultural services","Use of imported products, cif",0.083,total impact
204,Gambling and betting services,"Use of imported products, cif",2.501,Ratio of direct to total,Gambling and betting services,"Use of imported products, cif",0.071,total impact
205,Sports services and amusement and recreation services,"Use of imported products, cif",2.868,Ratio of direct to total,Sports services and amusement and recreation services,"Use of imported products, cif",0.076,total impact
